X,Y,GID,STANDORT,EINHEIT_OD,MESSW_ODL,LON,LAT,PETROGRAPH
12.419566424802236,49.70396837451286,28,MP11/BY15/Georgenberg,nSvh-1,109.20000000,746548.0,5511332.0,Glimmerschiefer
11.959238739790578,49.679078337234344,29,MP17/BY4/Htten,nSvh-1,76.900000000,713473.0,5507155.0,SandsteinSchluffsteinTonstein
12.55181410737351,49.578797558288386,30,MP44/BY19/Eslarn,nSvh-1,83.500000000,756739.0,5497863.0,Granit
11.944771738566832,49.868173312415166,31,MP19/BY19/Waldeck,nSvh-1,98.500000000,711604.0,5528133.0,Ton-Sand-Mergelstein
11.989827583817874,49.73311669908859,32,MP28/BY4/Schwarzenbach,nSvh-1,66.000000000,715440.0,5513249.0,KalksteinMergelsteinDolomitsteinTonstein
12.107633909803974,49.68434634969858,33,MP25/BY15/Neunkirchen,nSvh-1,61.000000000,724152.0,5508173.0,SandsteinSchluffsteinTonstein
12.21376080346542,49.79239544443755,34,MP6/BY15/Walpertsreuth,nSvh-1,122.90000000,731291.0,5520505.0,Granit
12.067471834637333,49.596125962156734,35,MP31/BY19/Weissenbrunn,nSvh-1,89.200000000,721656.0,5498248.0,SandsteinTonstein
12.384292237502821,49.995813318435076,36,MP78/BY3/Pfudermhle,nSvh-1,71.300000000,742539.0,5543655.0,TonschieferQuarzitGer�llquarzit
11.709212202769105,49.81979271385263,37,MP6/BY4/H”flas,nSvh-1,93.400000000,694874.0,5522116.0,Sandstein-Tonstein-WechsellagenmitdolomitischenEinlagerungen
12.057757508561144,49.5649666040478,38,MP71/BY4/Neuersdorf,nSvh-1,64.500000000,721095.0,5494756.0,Ton-Sand-Mergelstein
11.969536697591424,49.685166041003455,39,MP49/BY15/Htten,nSvh-1,67.200000000,714189.0,5507861.0,SandKies
12.067969005133202,49.63467270319894,40,MP26/BY15/Weiherhammer,nSvh-1,71.300000000,721517.0,5502534.0,SandKiesSchotter
12.217485977613562,49.72908967141824,41,MP29/BY4/St”rnstein,nSvh-1,84.100000000,731861.0,5513480.0,Granit
12.41731140710524,49.55316089965955,42,MP61/BY4/Rckersrieth,nSvh-1,68.900000000,747148.0,5494563.0,Paragneis
11.985547342260054,49.64209238962133,43,MP50/BY15/Drnast,nSvh-1,72.300000000,715534.0,5503119.0,SandsteinTonstein
11.926488100997117,49.89840515206138,44,MP51/BY3/Zinst,nSvh-1,81.700000000,710159.0,5531442.0,KalksteinMergelsteinDolomitsteinTonstein
12.069954921578374,49.85938139595412,45,MP53/BY3/Siegritz,nSvh-1,67.500000000,720638.0,5527517.0,
12.33393942895665,49.857588839224114,46,MP56/BY11/Lodermhl,nSvh-1,107.20000000,739616.0,5528129.0,Granit
11.932239055277408,49.95462080900246,47,MP43/BY3/Ebnath,nSvh-1,82.900000000,710327.0,5537707.0,Glimmerschiefer
12.337261822100693,49.61348622782544,48,MP14/BY15/Oberlind,nSvh-1,112.40000000,741062.0,5501008.0,
11.987844165297696,49.64317565447655,49,MP49/BY4/Neumhle,nSvh-1,75.000000000,715695.0,5503246.0,SandsteinTonstein
11.865657243238251,49.91043310052639,50,MP49/BY11/Immenreuth,nSvh-1,56.900000000,705740.0,5532610.0,SandsteinSchluffsteinTonstein
11.881652955905196,49.73646314398842,51,MP27/BY4/G”ssenreuth,nSvh-1,101.50000000,707632.0,5513316.0,KalksteinMergelsteinDolomitsteinTonstein
