X,Y,STANDORT,VERFAHREN,PARAMETER,EINHEIT,MESSW_BL,LON,LAT,GEO,STRATIGRAP,GENESE,PETROGRAPH,BEMERKUNGE,name,type,name_1,type_1
11.681512861510702,49.454219955330082,StSch 4251 FrÃ¤nkische Alb 34,SzintillationszÃ¤,"Rn-222 (Radon), 1 m Tie",kBq m-3,6.0000000000,694332,5481408,579,"Jura, Oberer Jura (Malm)","marine Ablagerungen, marin - brackisch","Mergelstein, Kalkstein, Dolomitstein, Kalksandstein",,,residential,,
11.734234186380842,49.621424036279855,StSch 4251 FrÃ¤nkische Alb 35,SzintillationszÃ¤,"Rn-222 (Radon), 1 m Tie",kBq m-3,51.0000000000,697477,5500131,545,"Kreide, Oberkreide ungegliedert",,"Kalk- und Mergelstein, Tonstein, Sandstein",Sandstein: bes. Elbe-B”hmen,,,,forest
12.061167842517106,50.011175480324248,StSch 4251 Oberpfalz 1,SzintillationszÃ¤,"Rn-222 (Radon), 1 m Tie",kBq m-3,54.0000000000,719316,5544364,760,Oberes Proterozoikum,metamorph,Glimmerschiefer,z.T. auch glimmerreicher Gneis,,,,
12.115667487481952,50.010515280992486,StSch 4251 Oberpfalz 2,SzintillationszÃ¤,"Rn-222 (Radon), 1 m Tie",kBq m-3,83.0000000000,723223,5544452,838,Karbon,plutonisch,"Diorit, Redwitzit","Redwitzit = Granitvariante, hohe Biotit-, Hornblendegehalte (sdl. Prag auch Gabbro)",,,,
12.15745874798348,50.038739798926038,StSch 4251 Oberpfalz 3,SzintillationszÃ¤,"Rn-222 (Radon), 1 m Tie",kBq m-3,113.0000000000,726084,5547715,838,Karbon,plutonisch,"Diorit, Redwitzit","Redwitzit = Granitvariante, hohe Biotit-, Hornblendegehalte (sdl. Prag auch Gabbro)",,,,
12.237307316129677,50.017852034929405,StSch 4251 Oberpfalz 4,SzintillationszÃ¤,"Rn-222 (Radon), 1 m Tie",kBq m-3,76.0000000000,731901,5545638,715,"Ordovizium, Tieferes Ordovizium","marine Ablagerungen, metamorph",Phyllit,,,,,
12.286168427734834,50.015694518833605,StSch 4251 Oberpfalz 5,SzintillationszÃ¤,"Rn-222 (Radon), 1 m Tie",kBq m-3,10.0000000000,735411,5545551,845,Oberes Proterozoikum - Altpal„ozoikum,metamorphes Intrusivgestein,"Orthogneis: granitisch, granodioritisch","šberg„nge zu Migmatiten; Metamorphose pr„-? bis frh(?)-variszisch",,,,
12.312104357579738,50.018456055697612,StSch 4251 Oberpfalz 6,SzintillationszÃ¤,"Rn-222 (Radon), 1 m Tie",kBq m-3,14.0000000000,737255,5545940,715,"Ordovizium, Tieferes Ordovizium","marine Ablagerungen, metamorph",Phyllit,,,,,
12.317027248101535,50.040851867999848,StSch 4251 Oberpfalz 7,SzintillationszÃ¤,"Rn-222 (Radon), 1 m Tie",kBq m-3,36.0000000000,737497,5548445,715,"Ordovizium, Tieferes Ordovizium","marine Ablagerungen, metamorph",Phyllit,,,,,
12.272618955245289,50.04064746057194,StSch 4251 Oberpfalz 8,SzintillationszÃ¤,"Rn-222 (Radon), 1 m Tie",kBq m-3,33.0000000000,734319,5548282,715,"Ordovizium, Tieferes Ordovizium","marine Ablagerungen, metamorph",Phyllit,,,,,
